Location,Sex,year,age,px
Argentina,Male,1950,0,0.91905682
Argentina,Male,1950,1,0.99211467
Argentina,Male,1950,2,0.99472781
Argentina,Male,1950,3,0.99643265
Argentina,Male,1950,4,0.99752405
Argentina,Male,1950,5,0.99821155
Argentina,Male,1950,6,0.99863667
Argentina,Male,1950,7,0.99889047
Argentina,Male,1950,8,0.99903295
Argentina,Male,1950,9,0.99909773
Argentina,Male,1950,10,0.99910521
Argentina,Male,1950,11,0.99906555
Argentina,Male,1950,12,0.99898411
Argentina,Male,1950,13,0.99886417
Argentina,Male,1950,14,0.99870991
Argentina,Male,1950,15,0.99852918
Argentina,Male,1950,16,0.99833395
Argentina,Male,1950,17,0.99814143
Argentina,Male,1950,18,0.99796583
Argentina,Male,1950,19,0.99781798
Argentina,Male,1950,20,0.99769729
Argentina,Male,1950,21,0.99759493
Argentina,Male,1950,22,0.99750104
Argentina,Male,1950,23,0.9974056
Argentina,Male,1950,24,0.9973058
Argentina,Male,1950,25,0.99720396
Argentina,Male,1950,26,0.99710517
Argentina,Male,1950,27,0.99701624
Argentina,Male,1950,28,0.99693779
Argentina,Male,1950,29,0.99686476
Argentina,Male,1950,30,0.9967863
Argentina,Male,1950,31,0.99668648
Argentina,Male,1950,32,0.99655292
Argentina,Male,1950,33,0.99637673
Argentina,Male,1950,34,0.9961568
Argentina,Male,1950,35,0.99590215
Argentina,Male,1950,36,0.99562483
Argentina,Male,1950,37,0.99534012
Argentina,Male,1950,38,0.9950545
Argentina,Male,1950,39,0.99475878
Argentina,Male,1950,40,0.99443179
Argentina,Male,1950,41,0.99403507
Argentina,Male,1950,42,0.99353192
Argentina,Male,1950,43,0.99289684
Argentina,Male,1950,44,0.99212078
Argentina,Male,1950,45,0.99123808
Argentina,Male,1950,46,0.99030576
Argentina,Male,1950,47,0.98939987
Argentina,Male,1950,48,0.98858619
Argentina,Male,1950,49,0.98786392
Argentina,Male,1950,50,0.98719245
Argentina,Male,1950,51,0.98646816
Argentina,Male,1950,52,0.98558183
Argentina,Male,1950,53,0.98447228
Argentina,Male,1950,54,0.98310923
Argentina,Male,1950,55,0.98157135
Argentina,Male,1950,56,0.97998705
Argentina,Male,1950,57,0.97849734
Argentina,Male,1950,58,0.97722807
Argentina,Male,1950,59,0.97615024
Argentina,Male,1950,60,0.97515474
Argentina,Male,1950,61,0.97402425
Argentina,Male,1950,62,0.97250222
Argentina,Male,1950,63,0.97039985
Argentina,Male,1950,64,0.96753571
Argentina,Male,1950,65,0.96383816
Argentina,Male,1950,66,0.95929274
Argentina,Male,1950,67,0.95393522
Argentina,Male,1950,68,0.94786402
Argentina,Male,1950,69,0.94114953
Argentina,Male,1950,70,0.93385602
Argentina,Male,1950,71,0.9259728
Argentina,Male,1950,72,0.91742125
Argentina,Male,1950,73,0.90803042
Argentina,Male,1950,74,0.89753116
Argentina,Male,1950,75,0.88556386
Argentina,Male,1950,76,0.87167855
Argentina,Male,1950,77,0.85561064
Argentina,Male,1950,78,0.83733808
Argentina,Male,1950,79,0.8174108
Argentina,Male,1950,80,0.79706713
Argentina,Male,1950,81,0.77999518
Argentina,Male,1950,82,0.76351306
Argentina,Male,1950,83,0.74729868
Argentina,Male,1950,84,0.73105279
Argentina,Male,1950,85,0.71449807
Argentina,Male,1950,86,0.69737915
Argentina,Male,1950,87,0.67946333
Argentina,Male,1950,88,0.66054198
Argentina,Male,1950,89,0.64043222
Argentina,Male,1950,90,0.61897888
Argentina,Male,1950,91,0.59454584
Argentina,Male,1950,92,0.56986866
Argentina,Male,1950,93,0.54537512
Argentina,Male,1950,94,0.52113717
Argentina,Male,1950,95,0.51050099
Argentina,Male,1950,96,0.49345758
Argentina,Male,1950,97,0.4775706
Argentina,Male,1950,98,0.46285683
Argentina,Male,1950,99,0.44931082
Argentina,Male,1950,100,0
Argentina,Male,1951,0,0.92084383
Argentina,Male,1951,1,0.99220017
Argentina,Male,1951,2,0.99492418
Argentina,Male,1951,3,0.99664999
Argentina,Male,1951,4,0.99772206
Argentina,Male,1951,5,0.99837718
Argentina,Male,1951,6,0.99876979
Argentina,Male,1951,7,0.99899523
Argentina,Male,1951,8,0.99911445
Argentina,Male,1951,9,0.99916025
Argentina,Male,1951,10,0.99915276
Argentina,Male,1951,11,0.99910282
Argentina,Male,1951,12,0.99901709
Argentina,Male,1951,13,0.99890151
Argentina,Male,1951,14,0.99876139
Argentina,Male,1951,15,0.99860425
Argentina,Male,1951,16,0.9984381
Argentina,Male,1951,17,0.99827258
Argentina,Male,1951,18,0.99811567
Argentina,Male,1951,19,0.99797385
Argentina,Male,1951,20,0.99784859
Argentina,Male,1951,21,0.99773757
Argentina,Male,1951,22,0.99763735
Argentina,Male,1951,23,0.99754376
Argentina,Male,1951,24,0.99745498
Argentina,Male,1951,25,0.99737086
Argentina,Male,1951,26,0.99729177
Argentina,Male,1951,27,0.99721829
Argentina,Male,1951,28,0.99714795
Argentina,Male,1951,29,0.99707556
Argentina,Male,1951,30,0.99699335
Argentina,Male,1951,31,0.99689118
Argentina,Male,1951,32,0.99676087
Argentina,Male,1951,33,0.99659624
Argentina,Male,1951,34,0.99639535
Argentina,Male,1951,35,0.99616182
Argentina,Male,1951,36,0.99590078
Argentina,Male,1951,37,0.99561908
Argentina,Male,1951,38,0.99531883
Argentina,Male,1951,39,0.99499346
Argentina,Male,1951,40,0.99462956
Argentina,Male,1951,41,0.99420344
Argentina,Male,1951,42,0.99369218
Argentina,Male,1951,43,0.99308
Argentina,Male,1951,44,0.99236199
Argentina,Male,1951,45,0.99156006
Argentina,Male,1951,46,0.99070904
Argentina,Male,1951,47,0.98985295
Argentina,Male,1951,48,0.98902788
Argentina,Male,1951,49,0.98822695
Argentina,Male,1951,50,0.98741788
Argentina,Male,1951,51,0.98652695
Argentina,Male,1951,52,0.98547658
Argentina,Male,1951,53,0.98423007
Argentina,Male,1951,54,0.9827815
Argentina,Male,1951,55,0.98122198
Argentina,Male,1951,56,0.97968771
Argentina,Male,1951,57,0.97831246
Argentina,Male,1951,58,0.97720242
Argentina,Male,1951,59,0.9763029
Argentina,Male,1951,60,0.97547948
Argentina,Male,1951,61,0.97450023
Argentina,Male,1951,62,0.97310146
Argentina,Male,1951,63,0.97109736
Argentina,Male,1951,64,0.96831246
Argentina,Male,1951,65,0.96468919
Argentina,Male,1951,66,0.96023457
Argentina,Male,1951,67,0.95500893
Argentina,Male,1951,68,0.94914062
Argentina,Male,1951,69,0.94271646
Argentina,Male,1951,70,0.93580431
Argentina,Male,1951,71,0.92837691
Argentina,Male,1951,72,0.92032046
Argentina,Male,1951,73,0.91142691
Argentina,Male,1951,74,0.90138653
Argentina,Male,1951,75,0.88980594
Argentina,Male,1951,76,0.87620492
Argentina,Male,1951,77,0.86029668
Argentina,Male,1951,78,0.84205146
Argentina,Male,1951,79,0.82204989
Argentina,Male,1951,80,0.80162039
Argentina,Male,1951,81,0.7847496
Argentina,Male,1951,82,0.76854964
Argentina,Male,1951,83,0.75268498
Argentina,Male,1951,84,0.73684338
