1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
202.414,207.805,211.254,214.142,216.849,218.781,221.146,224.03,225.498,225.001,230.005,231.813,232.778,235.733,237.391,237.979,235.953,236.601,241.97,248.774,256.771,264.464,273.408,280.62,288.797,297.543,304.956,313.546,321.57,325.524,328.252,329.215,328.952,328.462,326.744,327.71,326.478,329.327,331.708,337.042,339.026,345.203,347.509,349.595,352.476,354.198,351.432,347.142,343.584,343.292,346.373,344.966,342.079,341.297,339.543,340.846,344.266,344.676,344.301,357.843,357.449,362.916,364.023,353.933,361.997,373.08,369.996,355.399,345.56,330.844,302.258,257.852,256.061,240.128
197.492,198.563,203.95,207.407,210.344,213.069,215.038,217.402,220.329,221.764,221.377,226.37,228.152,229.224,232.217,233.985,234.668,232.76,233.524,238.958,245.782,253.788,260.613,269.604,276.858,285.223,294.611,302.085,310.732,318.879,323.036,326.001,327.249,327.239,327.011,325.414,326.462,325.246,328.151,330.544,335.825,337.758,343.787,346.123,348.244,351.163,352.936,350.236,346.01,342.521,342.282,345.376,344.002,341.128,340.37,338.644,339.974,343.422,343.853,343.544,357.118,356.748,362.261,363.403,353.356,361.435,372.52,369.449,354.888,345.077,330.388,301.82,257.486,255.752
193.392,197.231,198.262,203.548,206.957,209.824,212.506,214.417,216.79,219.652,221.109,220.741,225.659,227.485,228.56,231.596,233.38,234.07,232.214,233.03,238.463,245.271,253.204,260.044,269.053,276.293,284.442,293.803,301.26,309.927,318.136,322.386,325.485,326.847,326.975,326.773,325.199,326.213,325.023,327.914,330.249,335.445,337.238,343.277,345.617,347.744,350.674,352.46,349.773,345.573,342.104,341.872,344.986,343.579,340.718,339.975,338.271,339.618,343.071,343.552,343.286,356.863,356.54,362.065,363.218,353.2,361.289,372.365,369.298,354.748,344.938,330.23,301.679,257.411
187.53,193.462,197.239,198.21,203.413,206.759,209.576,212.214,214.074,216.439,219.297,220.74,220.325,225.279,227.128,228.216,231.273,233.086,233.796,231.971,232.809,238.209,245.049,252.994,259.863,268.829,275.774,283.901,293.239,300.71,309.415,317.702,322.052,325.234,326.694,326.849,326.656,325.055,326.089,324.893,327.735,330.005,335.087,336.874,342.903,345.242,347.373,350.308,352.105,349.432,345.245,341.778,341.551,344.662,343.265,340.415,339.682,337.985,339.349,342.832,343.339,343.102,356.703,356.391,361.933,363.096,353.091,361.178,372.244,369.188,354.646,344.818,330.12,301.603
182.136,187.813,193.673,197.393,198.28,203.417,206.708,209.489,212.053,213.926,216.281,219.11,220.505,220.138,225.117,226.962,228.076,231.169,232.99,233.711,231.915,232.719,238.092,244.943,252.908,259.742,268.476,275.402,283.508,292.853,300.35,309.122,317.486,321.897,325.152,326.637,326.793,326.575,324.993,326.02,324.788,327.574,329.754,334.819,336.595,342.617,344.957,347.092,350.036,351.837,349.171,344.983,341.513,341.301,344.42,343.029,340.183,339.449,337.774,339.161,342.656,343.2,342.982,356.587,356.297,361.84,363.009,353.008,361.085,372.16,369.112,354.556,344.735,330.051
177.2,182.496,188.108,193.915,197.548,198.381,203.463,206.723,209.429,212.009,213.871,216.197,218.8,220.198,219.857,224.812,226.669,227.808,230.892,232.699,233.438,231.64,232.92,238.308,245.194,253.088,259.497,268.21,275.117,283.228,292.591,300.146,308.98,317.391,321.858,325.132,326.616,326.75,326.549,324.962,325.956,324.681,327.39,329.611,334.678,336.459,342.482,344.825,346.969,349.914,351.718,349.06,344.868,341.315,341.111,344.231,342.84,339.992,339.279,337.621,339.015,342.547,343.103,342.894,356.514,356.226,361.772,362.942,352.935,361.022,372.102,369.04,354.49,344.674
172.737,177.794,183.011,188.553,194.255,197.813,198.581,203.621,206.802,209.518,212.085,213.917,216.083,218.71,220.135,219.785,224.753,226.639,227.781,230.858,232.683,233.396,231.996,233.293,238.722,245.524,252.909,259.301,267.995,274.905,283.031,292.441,300.049,308.921,317.376,321.858,325.129,326.593,326.741,326.535,324.921,325.877,324.541,327.267,329.485,334.551,336.333,342.356,344.706,346.85,349.797,351.603,348.937,344.705,341.16,340.958,344.076,342.679,339.852,339.151,337.497,338.927,342.469,343.033,342.839,356.457,356.171,361.717,362.878,352.885,360.978,372.045,368.986,354.435
168.754,173.49,178.457,183.592,189.021,194.632,198.112,198.834,203.796,206.979,209.681,212.218,213.927,216.131,218.785,220.208,219.876,224.872,226.768,227.909,231.004,232.791,233.886,232.504,233.852,239.181,245.384,252.753,259.132,267.825,274.748,282.914,292.368,300.008,308.916,317.381,321.861,325.114,326.59,326.733,326.505,324.862,325.763,324.435,327.157,329.374,334.439,336.223,342.248,344.6,346.745,349.69,351.488,348.799,344.574,341.03,340.826,343.937,342.557,339.742,339.045,337.421,338.859,342.409,342.986,342.792,356.409,356.125,361.661,362.833,352.848,360.932,371.998,368.931
165.108,169.588,174.229,179.107,184.126,189.456,194.982,198.413,199.064,204.02,207.189,209.863,212.3,214.056,216.286,218.943,220.384,220.081,225.091,226.99,228.149,231.2,233.361,234.473,233.146,234.387,239.066,245.256,252.612,258.988,267.694,274.651,282.854,292.335,300.006,308.919,317.383,321.848,325.11,326.583,326.706,326.451,324.763,325.67,324.341,327.061,329.278,334.342,336.128,342.154,344.507,346.652,349.59,351.366,348.682,344.459,340.915,340.705,343.828,342.458,339.647,338.974,337.361,338.807,342.365,342.942,342.751,356.366,356.074,361.62,362.795,352.808,360.889,371.943
161.819,165.962,170.347,174.898,179.661,184.581,189.824,195.3,198.663,199.307,204.249,207.392,210.058,212.557,214.343,216.587,219.263,220.736,220.459,225.478,227.396,228.498,231.756,233.933,235.095,233.666,234.286,238.953,245.133,252.485,258.874,267.606,274.595,282.822,292.331,300.004,308.917,317.367,321.84,325.099,326.553,326.657,326.36,324.669,325.572,324.241,326.959,329.177,334.24,336.03,342.056,344.406,346.546,349.477,351.26,348.577,344.354,340.804,340.603,343.736,342.371,339.578,338.916,337.312,338.764,342.321,342.903,342.709,356.315,356.034,361.58,362.756,352.765,360.832
