1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
210.115,214.591,218.255,221.391,223.969,225.902,228.147,230.965,232.343,231.626,236.937,238.887,239.946,243.062,244.484,245.091,243.092,243.664,248.832,255.383,263.067,271.361,280.5,288.648,297.753,307.649,316.964,326.623,335.817,340.781,342.687,342.667,341.838,340.669,339.724,341.647,341.148,344.595,347.319,353.26,355.534,362.102,364.68,366.84,369.756,372.031,368.983,364.297,360.611,360.745,363.985,362.391,359.143,358.647,357.013,358.785,363.402,365.022,365.17,379.024,378.322,384.362,385.774,375.067,383.125,394.375,390.534,374.659,363.366,347.737,317.553,270.843,268.907,252.091
203.046,204.722,209.123,212.82,216.064,218.718,220.714,222.986,225.868,227.26,226.671,231.962,233.919,235.096,238.264,239.844,240.584,238.758,239.472,244.741,251.342,259.058,265.887,275.1,283.286,292.729,303.916,313.37,323.174,332.578,337.816,340.029,340.35,339.78,338.889,338.082,340.098,339.642,343.173,345.938,351.85,354.098,360.553,363.147,365.341,368.298,370.62,367.652,363.047,359.426,359.579,362.819,361.25,358.05,357.589,355.977,357.783,362.42,364.07,364.286,378.163,377.5,383.577,385.03,374.39,382.453,393.701,389.889,374.056,362.795,347.204,317.041,270.426,268.543
198.156,202.497,204.112,208.45,212.115,215.303,217.899,219.838,222.123,224.967,226.366,225.797,231.025,233.015,234.194,237.418,239.02,239.781,238.001,238.785,244.067,250.654,258.012,264.859,274.066,282.287,291.797,302.97,312.418,322.258,331.742,337.092,339.468,339.887,339.458,338.6,337.811,339.796,339.372,342.894,345.606,351.451,353.582,360.033,362.624,364.823,367.782,370.123,367.177,362.611,358.999,359.156,362.403,360.817,357.641,357.184,355.601,357.418,362.071,363.77,364.02,377.911,377.281,383.38,384.864,374.236,382.301,393.553,389.747,373.921,362.668,347.051,316.915,270.357
192.172,198.055,202.342,203.903,208.153,211.752,214.886,217.45,219.344,221.615,224.462,225.85,225.227,230.501,232.521,233.711,236.96,238.592,239.379,237.629,238.44,243.695,250.248,257.622,264.491,273.672,281.663,291.163,302.318,311.782,321.665,331.225,336.676,339.141,339.669,339.267,338.419,337.607,339.617,339.191,342.668,345.339,351.062,353.189,359.631,362.223,364.43,367.392,369.74,366.807,362.258,358.647,358.809,362.058,360.48,357.318,356.869,355.305,357.139,361.822,363.551,363.822,377.731,377.13,383.241,384.733,374.112,382.176,393.427,389.634,373.816,362.547,346.936,316.838
186.641,192.354,198.184,202.404,203.868,208.046,211.589,214.7,217.195,219.082,221.36,224.185,225.505,224.954,230.26,232.267,233.489,236.767,238.42,239.208,237.487,238.27,243.462,250.028,257.418,264.265,273.244,281.224,290.708,301.865,311.355,321.296,330.917,336.445,338.995,339.544,339.145,338.277,337.491,339.498,339.037,342.484,345.046,350.755,352.877,359.315,361.917,364.119,367.083,369.426,366.512,361.961,358.354,358.534,361.781,360.218,357.053,356.625,355.078,356.932,361.639,363.388,363.678,377.61,377.014,383.133,384.626,374.006,382.071,393.336,389.546,373.721,362.447,346.858
181.558,187.05,192.706,198.458,202.564,203.956,208.071,211.587,214.619,217.107,219,221.258,223.941,225.319,224.805,230.088,232.121,233.37,236.662,238.305,239.11,237.368,238.316,243.522,250.115,257.456,263.963,272.929,280.893,290.374,301.548,311.084,321.065,330.752,336.347,338.914,339.461,339.046,338.198,337.412,339.389,338.908,342.256,344.823,350.53,352.653,359.102,361.696,363.899,366.85,369.212,366.296,361.749,358.13,358.305,361.565,359.994,356.849,356.437,354.905,356.78,361.505,363.267,363.584,377.511,376.925,383.043,384.53,373.916,381.999,393.263,389.468,373.634,362.374
176.952,182.103,187.531,193.104,198.741,202.769,204.096,208.177,211.615,214.64,217.129,219.005,221.208,223.966,225.379,224.859,230.165,232.228,233.501,236.789,238.446,239.209,237.624,238.59,243.833,250.353,257.23,263.726,272.677,280.636,290.132,301.342,310.906,320.944,330.684,336.292,338.854,339.387,338.988,338.141,337.331,339.289,338.726,342.071,344.636,350.342,352.476,358.914,361.508,363.698,366.666,369.022,366.108,361.562,357.938,358.127,361.374,359.82,356.691,356.288,354.775,356.668,361.402,363.189,363.502,377.434,376.849,382.959,384.448,373.857,381.94,393.199,389.39,373.565
172.838,177.514,182.602,187.951,193.42,198.985,202.944,204.238,208.248,211.68,214.704,217.179,219.065,221.349,224.136,225.549,225.058,230.392,232.482,233.759,237.057,238.665,239.611,238.045,239.059,244.212,250.174,257.04,263.524,272.467,280.441,289.969,301.197,310.813,320.894,330.641,336.244,338.791,339.34,338.94,338.073,337.25,339.135,338.577,341.92,344.49,350.205,352.331,358.767,361.349,363.552,366.517,368.874,365.948,361.398,357.784,357.961,361.222,359.683,356.561,356.174,354.677,356.578,361.333,363.117,363.437,377.367,376.777,382.886,384.396,373.806,381.887,393.129,389.323
169.038,173.316,177.938,182.959,188.223,193.634,199.136,203.063,204.299,208.305,211.736,214.751,217.311,219.283,221.593,224.387,225.828,225.369,230.731,232.829,234.115,237.358,239.119,240.082,238.564,239.485,244.06,250.012,256.866,263.343,272.301,280.303,289.844,301.117,310.77,320.856,330.597,336.186,338.745,339.294,338.877,337.997,337.116,339.016,338.46,341.809,344.391,350.098,352.226,358.65,361.242,363.445,366.411,368.731,365.804,361.261,357.638,357.826,361.099,359.566,356.458,356.086,354.596,356.515,361.269,363.058,363.378,377.302,376.711,382.84,384.346,373.759,381.825,393.066
165.584,169.368,173.606,178.177,183.135,188.363,193.721,199.198,203.077,204.315,208.319,211.746,214.964,217.62,219.614,221.943,224.763,226.236,225.814,231.192,233.295,234.52,237.805,239.581,240.587,238.98,239.347,243.911,249.854,256.701,263.194,272.178,280.19,289.77,301.073,310.731,320.81,330.538,336.137,338.695,339.228,338.801,337.871,337.011,338.914,338.369,341.731,344.307,350.016,352.135,358.565,361.158,363.364,366.281,368.602,365.676,361.127,357.511,357.711,360.991,359.469,356.375,356.008,354.535,356.455,361.212,363.002,363.32,377.239,376.668,382.791,384.299,373.702,381.767
