Location,Sex,year,age,px,fx
Brazil,Female,1950,0,0.85503842,0
Brazil,Female,1950,1,0.97025742,0
Brazil,Female,1950,2,0.98196001,0
Brazil,Female,1950,3,0.98888461,0
Brazil,Female,1950,4,0.99290179,0
Brazil,Female,1950,5,0.9953936,0
Brazil,Female,1950,6,0.99684058,0
Brazil,Female,1950,7,0.99751645,0
Brazil,Female,1950,8,0.99769494,0
Brazil,Female,1950,9,0.99764975,0
Brazil,Female,1950,10,0.99765966,0
Brazil,Female,1950,11,0.9975691,0
Brazil,Female,1950,12,0.99741351,0
Brazil,Female,1950,13,0.99722448,0
Brazil,Female,1950,14,0.99701916,0
Brazil,Female,1950,15,0.99681037,0.026376999999999998
Brazil,Female,1950,16,0.99659651,0.051701000000000004
Brazil,Female,1950,17,0.99637202,0.08681900000000001
Brazil,Female,1950,18,0.99613471,0.13003800000000001
Brazil,Female,1950,19,0.99588532,0.173767
Brazil,Female,1950,20,0.9956343,0.215507
Brazil,Female,1950,21,0.99539651,0.252264
Brazil,Female,1950,22,0.99518541,0.28295299999999995
Brazil,Female,1950,23,0.99501203,0.306152
Brazil,Female,1950,24,0.9948743,0.321436
Brazil,Female,1950,25,0.9947634,0.328478
Brazil,Female,1950,26,0.99466359,0.327633
Brazil,Female,1950,27,0.9945574,0.322049
Brazil,Female,1950,28,0.99443547,0.312636
Brazil,Female,1950,29,0.99429258,0.300358
Brazil,Female,1950,30,0.9941331,0.285572
Brazil,Female,1950,31,0.99396553,0.270796
Brazil,Female,1950,32,0.99379772,0.256359
Brazil,Female,1950,33,0.99363666,0.243166
Brazil,Female,1950,34,0.99348212,0.230823
Brazil,Female,1950,35,0.99333004,0.21719999999999998
Brazil,Female,1950,36,0.99317329,0.200851
Brazil,Female,1950,37,0.99300364,0.183168
Brazil,Female,1950,38,0.99281809,0.164273
Brazil,Female,1950,39,0.99261692,0.143846
Brazil,Female,1950,40,0.99240551,0.12161
Brazil,Female,1950,41,0.99219182,0.099464
Brazil,Female,1950,42,0.99197802,0.077581
Brazil,Female,1950,43,0.99176156,0.05796
Brazil,Female,1950,44,0.99152771,0.041233
Brazil,Female,1950,45,0.99125307,0.027934999999999998
Brazil,Female,1950,46,0.99091219,0.01864
Brazil,Female,1950,47,0.99047766,0.012246
Brazil,Female,1950,48,0.98993707,0.008215
Brazil,Female,1950,49,0.98929072,0.004924
Brazil,Female,1950,50,0.9885579,0
Brazil,Female,1950,51,0.98777703,0
Brazil,Female,1950,52,0.98697989,0
Brazil,Female,1950,53,0.9861897,0
Brazil,Female,1950,54,0.98539691,0
Brazil,Female,1950,55,0.98455737,0
Brazil,Female,1950,56,0.98361062,0
Brazil,Female,1950,57,0.98247958,0
Brazil,Female,1950,58,0.98110981,0
Brazil,Female,1950,59,0.9794756,0
Brazil,Female,1950,60,0.97758826,0
Brazil,Female,1950,61,0.97551058,0
Brazil,Female,1950,62,0.97330776,0
Brazil,Female,1950,63,0.97103639,0
Brazil,Female,1950,64,0.9687059,0
Brazil,Female,1950,65,0.96625108,0
Brazil,Female,1950,66,0.96357027,0
Brazil,Female,1950,67,0.9605217,0
Brazil,Female,1950,68,0.95698455,0
Brazil,Female,1950,69,0.95289225,0
Brazil,Female,1950,70,0.94822867,0
Brazil,Female,1950,71,0.94306591,0
Brazil,Female,1950,72,0.93748944,0
Brazil,Female,1950,73,0.93156432,0
Brazil,Female,1950,74,0.92530304,0
Brazil,Female,1950,75,0.91856662,0
Brazil,Female,1950,76,0.91123283,0
Brazil,Female,1950,77,0.90313367,0
Brazil,Female,1950,78,0.89414604,0
Brazil,Female,1950,79,0.88428143,0
Brazil,Female,1950,80,0.87364072,0
Brazil,Female,1950,81,0.86246381,0
Brazil,Female,1950,82,0.8509813,0
Brazil,Female,1950,83,0.83927606,0
Brazil,Female,1950,84,0.82729328,0
Brazil,Female,1950,85,0.81469445,0
Brazil,Female,1950,86,0.80107858,0
Brazil,Female,1950,87,0.78598404,0
Brazil,Female,1950,88,0.76923976,0
Brazil,Female,1950,89,0.75099081,0
Brazil,Female,1950,90,0.73158382,0
Brazil,Female,1950,91,0.71164208,0
Brazil,Female,1950,92,0.69185281,0
Brazil,Female,1950,93,0.67270953,0
Brazil,Female,1950,94,0.65460154,0
Brazil,Female,1950,95,0.63605907,0
Brazil,Female,1950,96,0.61712147,0
Brazil,Female,1950,97,0.59850537,0
Brazil,Female,1950,98,0.5803227,0
Brazil,Female,1950,99,0.56267462,0
Brazil,Female,1950,100,0,0
Brazil,Female,1951,0,0.85758883,0
Brazil,Female,1951,1,0.97142549,0
Brazil,Female,1951,2,0.98260846,0
Brazil,Female,1951,3,0.9892466,0
Brazil,Female,1951,4,0.99311014,0
Brazil,Female,1951,5,0.99551696,0
Brazil,Female,1951,6,0.99692463,0
Brazil,Female,1951,7,0.99759238,0
Brazil,Female,1951,8,0.99777939,0
Brazil,Female,1951,9,0.99774488,0
Brazil,Female,1951,10,0.99775288,0
Brazil,Female,1951,11,0.99766449,0
Brazil,Female,1951,12,0.99751329,0
Brazil,Female,1951,13,0.9973293,0
Brazil,Female,1951,14,0.99712902,0
Brazil,Female,1951,15,0.99692503,0.02639
Brazil,Female,1951,16,0.99671631,0.051705
Brazil,Female,1951,17,0.99649815,0.08679
Brazil,Female,1951,18,0.9962688,0.12995400000000001
Brazil,Female,1951,19,0.99602919,0.173617
Brazil,Female,1951,20,0.99578908,0.215288
Brazil,Female,1951,21,0.99556217,0.251983
Brazil,Female,1951,22,0.99536074,0.28262200000000004
Brazil,Female,1951,23,0.99519468,0.305784
Brazil,Female,1951,24,0.99506171,0.321047
Brazil,Female,1951,25,0.99495336,0.32808
Brazil,Female,1951,26,0.99485469,0.327235
Brazil,Female,1951,27,0.99474926,0.32165499999999997
Brazil,Female,1951,28,0.99462828,0.312249
Brazil,Female,1951,29,0.99448685,0.29998
Brazil,Female,1951,30,0.99432917,0.285207
Brazil,Female,1951,31,0.99416334,0.270446
Brazil,Female,1951,32,0.99399688,0.256025
Brazil,Female,1951,33,0.99383644,0.242844
Brazil,Female,1951,34,0.99368181,0.230514
Brazil,Female,1951,35,0.99352907,0.216908
Brazil,Female,1951,36,0.99337139,0.200583
Brazil,Female,1951,37,0.99320081,0.182927
Brazil,Female,1951,38,0.99301442,0.164061
Brazil,Female,1951,39,0.99281243,0.143666
Brazil,Female,1951,40,0.99259998,0.121467
Brazil,Female,1951,41,0.99238474,0.099354
Brazil,Female,1951,42,0.99216883,0.077502
Brazil,Female,1951,43,0.99194987,0.05790699999999999
Brazil,Female,1951,44,0.99171375,0.041201999999999996
Brazil,Female,1951,45,0.99143791,0.027920999999999998
Brazil,Female,1951,46,0.99109779,0.018636
Brazil,Female,1951,47,0.99066682,0.012247999999999998
Brazil,Female,1951,48,0.9901329,0.008218999999999999
Brazil,Female,1951,49,0.98949615,0.004927
Brazil,Female,1951,50,0.98877504,0
Brazil,Female,1951,51,0.98800647,0
Brazil,Female,1951,52,0.98722099,0
Brazil,Female,1951,53,0.98644094,0
Brazil,Female,1951,54,0.98565702,0
Brazil,Female,1951,55,0.98482653,0
Brazil,Female,1951,56,0.98389098,0
Brazil,Female,1951,57,0.98277564,0
Brazil,Female,1951,58,0.98142759,0
Brazil,Female,1951,59,0.97982149,0
Brazil,Female,1951,60,0.97796773,0
Brazil,Female,1951,61,0.97592627,0
Brazil,Female,1951,62,0.97375941,0
Brazil,Female,1951,63,0.97152147,0
Brazil,Female,1951,64,0.96922155,0
Brazil,Female,1951,65,0.96679729,0
Brazil,Female,1951,66,0.96415129,0
Brazil,Female,1951,67,0.96114687,0
Brazil,Female,1951,68,0.9576672,0
Brazil,Female,1951,69,0.95364601,0
Brazil,Female,1951,70,0.94906445,0
Brazil,Female,1951,71,0.94398729,0
Brazil,Female,1951,72,0.93849095,0
Brazil,Female,1951,73,0.93263401,0
Brazil,Female,1951,74,0.92642579,0
Brazil,Female,1951,75,0.91974903,0
Brazil,Female,1951,76,0.91247675,0
Brazil,Female,1951,77,0.9044441,0
Brazil,Female,1951,78,0.89552947,0
Brazil,Female,1951,79,0.88574193,0
Brazil,Female,1951,80,0.87517747,0
Brazil,Female,1951,81,0.86406759,0
Brazil,Female,1951,82,0.85263526,0
Brazil,Female,1951,83,0.84096007,0
Brazil,Female,1951,84,0.8289876,0
Brazil,Female,1951,85,0.81638658,0
Brazil,Female,1951,86,0.80276384,0
Brazil,Female,1951,87,0.78771711,0
Brazil,Female,1951,88,0.77104541,0
Brazil,Female,1951,89,0.75289088,0
Brazil,Female,1951,90,0.73359102,0
Brazil,Female,1951,91,0.7137534,0
Brazil,Female,1951,92,0.69404778,0
Brazil,Female,1951,93,0.674956,0
Brazil,Female,1951,94,0.65685988,0
Brazil,Female,1951,95,0.6383466,0
Brazil,Female,1951,96,0.61940024,0
Brazil,Female,1951,97,0.60076051,0
Brazil,Female,1951,98,0.58254007,0
Brazil,Female,1951,99,0.56484118,0
Brazil,Female,1951,100,0,0
Brazil,Female,1952,0,0.86009684,0
Brazil,Female,1952,1,0.97254019,0
Brazil,Female,1952,2,0.98322859,0
Brazil,Female,1952,3,0.98959355,0
Brazil,Female,1952,4,0.99331022,0
Brazil,Female,1952,5,0.99563568,0
