Location,Sex,year,age,px
Brazil,Male,1950,0,0.83088631
Brazil,Male,1950,1,0.96790216
Brazil,Male,1950,2,0.97963067
Brazil,Male,1950,3,0.98691635
Brazil,Male,1950,4,0.99135566
Brazil,Male,1950,5,0.9942026
Brazil,Male,1950,6,0.99592859
Brazil,Male,1950,7,0.99681973
Brazil,Male,1950,8,0.99716215
Brazil,Male,1950,9,0.99724196
Brazil,Male,1950,10,0.99734979
Brazil,Male,1950,11,0.99733924
Brazil,Male,1950,12,0.99724398
Brazil,Male,1950,13,0.99708856
Brazil,Male,1950,14,0.99688413
Brazil,Male,1950,15,0.99663732
Brazil,Male,1950,16,0.99634711
Brazil,Male,1950,17,0.99601029
Brazil,Male,1950,18,0.99563152
Brazil,Male,1950,19,0.99522356
Brazil,Male,1950,20,0.99481563
Brazil,Male,1950,21,0.99444955
Brazil,Male,1950,22,0.99416004
Brazil,Male,1950,23,0.99397183
Brazil,Male,1950,24,0.99387691
Brazil,Male,1950,25,0.9938441
Brazil,Male,1950,26,0.99383207
Brazil,Male,1950,27,0.99379609
Brazil,Male,1950,28,0.99371098
Brazil,Male,1950,29,0.99356589
Brazil,Male,1950,30,0.99336572
Brazil,Male,1950,31,0.99312927
Brazil,Male,1950,32,0.99287341
Brazil,Male,1950,33,0.9926126
Brazil,Male,1950,34,0.99235077
Brazil,Male,1950,35,0.99207951
Brazil,Male,1950,36,0.99178663
Brazil,Male,1950,37,0.99145622
Brazil,Male,1950,38,0.99107917
Brazil,Male,1950,39,0.99065702
Brazil,Male,1950,40,0.99019865
Brazil,Male,1950,41,0.98972346
Brazil,Male,1950,42,0.9892473
Brazil,Male,1950,43,0.98877572
Brazil,Male,1950,44,0.98830236
Brazil,Male,1950,45,0.9877995
Brazil,Male,1950,46,0.98723478
Brazil,Male,1950,47,0.98657445
Brazil,Male,1950,48,0.98579227
Brazil,Male,1950,49,0.98488714
Brazil,Male,1950,50,0.98387061
Brazil,Male,1950,51,0.98277805
Brazil,Male,1950,52,0.98164781
Brazil,Male,1950,53,0.98049733
Brazil,Male,1950,54,0.97932823
Brazil,Male,1950,55,0.97809737
Brazil,Male,1950,56,0.97674527
Brazil,Male,1950,57,0.97520903
Brazil,Male,1950,58,0.97342794
Brazil,Male,1950,59,0.97138574
Brazil,Male,1950,60,0.96908794
Brazil,Male,1950,61,0.96657962
Brazil,Male,1950,62,0.96392509
Brazil,Male,1950,63,0.96116036
Brazil,Male,1950,64,0.95830451
Brazil,Male,1950,65,0.95531487
Brazil,Male,1950,66,0.9521136
Brazil,Male,1950,67,0.9486107
Brazil,Male,1950,68,0.94470581
Brazil,Male,1950,69,0.94033371
Brazil,Male,1950,70,0.93544835
Brazil,Male,1950,71,0.9300351
Brazil,Male,1950,72,0.92410175
Brazil,Male,1950,73,0.9176527
