1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1062.912,1090.853,1125.774,1159.227,1192.85,1226.728,1261.198,1295.733,1330.379,1364.62,1397.826,1426.466,1454.488,1480.815,1503.613,1513.236,1515.15,1512.435,1505.974,1503.542,1516.182,1536.813,1561.703,1587.424,1614.102,1629.836,1661.848,1696.644,1733.342,1768.566,1801.458,1829.6,1852.288,1864.221,1867.622,1859.243,1852.046,1838.077,1813.501,1788.147,1767.136,1739.764,1721.022,1697.993,1701.366,1699.284,1709.885,1706.375,1711.795,1711.245,1686.017,1653.307,1618.493,1581.526,1544.073,1535.049,1524.632,1498.675,1474.575,1449.043,1440.459,1432.087,1426.261,1419.385,1417.427,1429.218,1431.103,1390.161,1397.892,1396.956,1359.83,1312.551,1292.836,1276.906
931.891,994.234,1022.035,1056.413,1089.535,1122.951,1156.799,1191.341,1225.996,1260.857,1295.378,1328.926,1358.216,1386.933,1414.06,1437.782,1448.858,1452.37,1451.368,1446.82,1445.966,1459.542,1480.915,1506.493,1532.873,1560.165,1577.051,1609.819,1645.417,1682.981,1719.178,1753.227,1782.441,1806.894,1821.904,1828.259,1822.994,1818.292,1806.975,1784.846,1761.994,1743.414,1717.969,1701.848,1680.243,1685.22,1684.677,1696.604,1694.396,1701.606,1701.804,1677.494,1645.739,1611.884,1575.602,1538.644,1530.015,1519.999,1494.275,1470.121,1444.203,1435.387,1427.347,1422.059,1415.439,1413.631,1425.249,1427.76,1386.438,1393.645,1393.524,1356.853,1308.769,1288.742
863.814,909.605,971.366,999.413,1033.95,1067.31,1101.053,1135.269,1170.175,1205.234,1240.495,1275.384,1309.357,1339.12,1368.324,1395.942,1420.172,1431.813,1435.949,1435.665,1431.758,1431.434,1445.43,1467.198,1493.112,1519.783,1547.474,1564.874,1598.045,1634.032,1671.944,1708.548,1742.839,1772.349,1797.363,1812.89,1819.83,1814.885,1810.724,1799.835,1778.302,1756.122,1737.753,1713.243,1697.073,1675.853,1681.124,1680.866,1693.035,1691.623,1698.815,1699.114,1675.016,1643.545,1609.809,1573.542,1536.645,1528.096,1518.055,1492.199,1467.636,1441.519,1432.897,1425.28,1420.168,1413.647,1411.688,1423.811,1425.914,1384.176,1392.049,1392.222,1354.81,1306.439
808.189,851.246,896.83,958.188,986.305,1020.872,1054.337,1088.206,1122.546,1157.577,1192.781,1228.149,1263.19,1297.32,1327.317,1356.744,1384.59,1409.033,1420.979,1425.505,1425.6,1422.033,1422.056,1436.338,1458.33,1484.407,1511.315,1539.263,1556.972,1590.374,1626.564,1664.705,1701.404,1735.83,1765.695,1791.009,1806.897,1813.978,1809.417,1805.563,1795.034,1773.967,1751.882,1734.215,1709.558,1693.662,1672.702,1678.168,1678.106,1690.921,1689.442,1696.662,1697.075,1673.183,1641.788,1608.078,1571.876,1535.084,1526.524,1516.372,1490.166,1465.442,1439.495,1431.216,1423.746,1418.721,1412.075,1410.552,1422.328,1424.06,1382.889,1391.069,1390.549,1352.912
760.017,800.863,843.772,889.196,950.255,978.392,1012.962,1046.452,1080.342,1114.697,1149.762,1184.966,1220.367,1255.44,1289.656,1319.749,1349.274,1377.204,1401.754,1413.903,1418.649,1418.933,1415.603,1415.869,1430.323,1452.417,1478.641,1505.708,1533.805,1551.697,1585.221,1621.548,1659.707,1696.455,1731.111,1761.159,1786.695,1802.628,1809.961,1805.632,1802.004,1791.788,1770.738,1749.205,1731.328,1706.886,1691.176,1670.392,1675.996,1676.49,1689.19,1687.708,1694.991,1695.537,1671.685,1640.326,1606.681,1570.578,1533.802,1525.153,1514.694,1488.356,1463.771,1438.116,1429.96,1422.566,1417.437,1411.16,1409.354,1420.813,1422.996,1382.138,1389.702,1388.991
734.646,755.603,796.344,839.14,884.421,945.284,973.427,1007.974,1041.446,1075.306,1109.65,1144.671,1179.859,1215.239,1250.34,1284.574,1314.704,1344.253,1372.222,1396.856,1409.122,1413.969,1414.396,1411.241,1411.661,1426.192,1448.389,1474.714,1501.871,1530.054,1548.05,1581.659,1617.972,1656.135,1693.039,1727.806,1757.999,1783.525,1799.628,1807.123,1802.946,1799.536,1789.282,1768.601,1746.912,1729.191,1704.899,1689.317,1668.66,1674.656,1675.07,1687.754,1686.326,1693.703,1694.255,1670.439,1639.143,1605.589,1569.508,1532.672,1523.76,1513.186,1486.96,1462.622,1437.076,1428.985,1421.503,1416.687,1410.172,1408.1,1419.932,1422.394,1381.008,1388.414
709.916,731.824,752.778,793.443,836.131,881.316,942.047,970.175,1004.682,1038.106,1071.935,1106.221,1141.206,1176.353,1211.732,1246.822,1281.053,1311.18,1340.738,1368.75,1393.43,1405.74,1410.672,1411.212,1408.173,1408.667,1423.281,1445.552,1471.93,1499.138,1527.366,1545.438,1579.018,1615.318,1653.592,1690.565,1725.429,1755.589,1781.233,1797.452,1805.039,1801.026,1797.551,1787.596,1766.735,1745.171,1727.56,1703.373,1687.888,1667.6,1673.493,1673.88,1686.585,1685.233,1692.6,1693.179,1669.421,1638.211,1604.679,1568.551,1531.501,1522.496,1512.008,1485.993,1461.746,1436.261,1428.096,1420.88,1415.862,1409.123,1407.366,1419.441,1421.439,1379.932
691.338,707.94,729.844,750.798,791.378,833.991,879.108,939.733,967.834,1002.288,1035.677,1069.447,1103.693,1138.631,1173.767,1209.125,1244.2,1278.409,1308.534,1338.119,1366.155,1390.839,1403.197,1408.207,1408.827,1405.845,1406.422,1421.1,1443.41,1469.821,1497.056,1525.323,1543.38,1576.942,1613.327,1651.648,1688.692,1723.514,1753.761,1779.493,1795.77,1803.474,1799.395,1796.165,1786.026,1765.265,1743.792,1726.263,1702.16,1686.994,1666.617,1672.474,1672.876,1685.633,1684.269,1691.662,1692.288,1668.606,1637.418,1603.85,1567.542,1530.422,1521.49,1511.176,1485.241,1461.045,1435.504,1427.564,1420.18,1414.971,1408.498,1406.952,1418.628,1420.521
674.678,689.706,706.324,728.233,749.158,789.677,832.235,877.29,937.821,965.889,1000.307,1033.644,1067.377,1101.58,1136.506,1171.621,1206.963,1242.016,1276.213,1306.359,1335.962,1363.994,1388.698,1401.11,1406.181,1406.843,1403.938,1404.585,1419.302,1441.643,1468.074,1495.339,1523.582,1541.636,1575.27,1611.693,1650.07,1687.073,1721.964,1752.283,1778.055,1794.425,1802.062,1798.19,1794.791,1784.731,1764.048,1742.648,1725.187,1701.364,1686.116,1665.715,1671.581,1672.029,1684.766,1683.432,1690.868,1691.554,1667.894,1636.677,1602.957,1566.595,1529.542,1520.759,1510.512,1484.621,1460.379,1435.034,1426.954,1419.407,1414.424,1408.134,1406.248,1417.837
657.081,673.128,688.182,704.823,726.707,747.616,788.088,830.594,875.593,936.031,964.081,998.451,1031.757,1065.454,1099.647,1134.555,1169.657,1204.979,1240.022,1274.233,1304.396,1333.995,1362.042,1386.779,1399.238,1404.343,1405.074,1402.238,1402.94,1417.694,1440.058,1466.518,1493.764,1521.998,1540.129,1573.8,1610.273,1648.614,1685.676,1720.628,1750.983,1776.832,1793.141,1800.963,1796.937,1793.604,1783.608,1762.99,1741.656,1724.45,1700.555,1685.282,1664.897,1670.8,1671.235,1683.993,1682.699,1690.188,1690.89,1667.205,1635.861,1602.095,1565.795,1528.88,1520.155,1509.945,1484.017,1459.941,1434.482,1426.264,1418.914,1414.087,1407.506,1405.555
