1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1091.941,1115.788,1151.791,1186.682,1221.732,1256.876,1292.445,1328.074,1363.812,1399.348,1433.624,1463.652,1492.614,1520.055,1543.641,1553.794,1556.152,1553.676,1547.343,1545.311,1558.476,1579.915,1605.341,1632.351,1660.07,1676.718,1710.791,1747.232,1785.289,1821.508,1855.405,1886.501,1912.171,1927.556,1933.409,1925.622,1918.155,1903.856,1878.608,1852.62,1831.997,1803.819,1784.77,1761.228,1765.406,1762.381,1773.305,1770.434,1776.347,1776.485,1750.711,1716.852,1681.364,1643.14,1604.455,1595.75,1585.43,1558.862,1534.02,1508.033,1499.57,1491.028,1485.124,1478.327,1476.207,1488.867,1490.865,1448.326,1456.263,1455.546,1416.657,1367.44,1347.003,1330.623
950.895,1012.824,1036.884,1072.277,1106.742,1141.435,1176.352,1211.738,1247.305,1283.111,1318.78,1353.251,1383.772,1413.221,1441.227,1465.552,1477.059,1481.041,1480.441,1476.262,1476.054,1490.346,1512.619,1538.868,1566.734,1595.339,1613.509,1648.555,1685.958,1725.061,1762.484,1797.883,1830.463,1857.796,1876.831,1886.283,1882.034,1877.422,1866.165,1843.914,1820.965,1803.276,1777.509,1761.51,1739.75,1745.901,1744.805,1757.397,1756.179,1764.258,1765.38,1740.759,1708.045,1673.666,1636.225,1598.181,1589.983,1580.166,1553.742,1528.862,1502.503,1493.782,1485.62,1480.271,1473.737,1471.776,1484.249,1486.891,1444.009,1451.414,1451.521,1413.131,1363.105,1342.38
879.296,925.919,987.286,1011.774,1047.345,1082.039,1117.022,1152.241,1187.963,1223.916,1260.111,1296.127,1330.997,1361.934,1391.82,1420.263,1445.048,1457.128,1461.795,1462,1458.582,1459.027,1473.828,1496.587,1523.299,1551.588,1580.734,1599.557,1635.095,1672.994,1712.575,1750.57,1786.404,1819.444,1847.452,1867.084,1877.155,1873.26,1869.23,1858.499,1836.897,1814.674,1797.237,1772.452,1756.392,1735.071,1741.561,1740.799,1753.679,1753.352,1761.397,1762.606,1738.177,1705.728,1671.409,1634.007,1596.047,1587.946,1578.113,1551.563,1526.273,1499.698,1491.192,1483.46,1478.288,1471.857,1469.731,1482.724,1484.979,1441.674,1449.743,1450.161,1411.004,1360.707
820.79,864.607,911.005,971.94,996.607,1032.205,1066.984,1102.059,1137.394,1173.251,1209.351,1245.647,1281.801,1316.794,1347.919,1377.999,1406.638,1431.63,1444.05,1449.164,1449.814,1446.815,1447.67,1462.811,1485.858,1512.817,1541.424,1570.901,1590.103,1625.913,1664.055,1703.92,1742.087,1778.117,1811.559,1839.918,1859.928,1870.158,1866.681,1862.999,1852.695,1831.633,1809.573,1792.902,1768.038,1752.306,1731.301,1738.03,1737.512,1751.087,1750.739,1758.857,1760.219,1736.034,1703.699,1669.429,1632.113,1594.277,1586.18,1576.248,1549.364,1523.913,1497.534,1489.38,1481.802,1476.72,1470.17,1468.479,1481.122,1483.011,1440.286,1448.661,1448.397,1409.014
798.563,811.904,855.543,901.748,962.375,987.108,1022.697,1057.48,1092.571,1127.934,1163.827,1199.922,1236.243,1272.405,1307.443,1338.641,1368.798,1397.511,1422.617,1435.271,1440.637,1441.518,1438.794,1439.933,1455.281,1478.481,1505.634,1534.44,1564.099,1583.506,1619.425,1657.701,1697.592,1735.803,1772.068,1805.71,1834.293,1854.347,1864.84,1861.597,1858.201,1848.275,1827.298,1805.861,1789.072,1764.475,1748.977,1728.198,1735.103,1735.152,1748.689,1748.421,1756.676,1758.242,1734.209,1701.932,1667.747,1630.55,1592.755,1584.588,1574.372,1547.365,1522.083,1496.008,1487.988,1480.489,1475.319,1469.131,1467.14,1479.476,1481.832,1439.421,1447.206,1446.742
774.649,792.83,806.238,849.734,895.793,956.192,980.957,1016.509,1051.267,1086.34,1121.691,1157.535,1193.606,1229.888,1266.041,1301.078,1332.296,1362.467,1391.217,1416.415,1429.193,1434.679,1435.72,1433.196,1434.514,1449.974,1473.303,1500.579,1529.491,1559.228,1578.711,1614.682,1652.913,1692.767,1731.111,1767.487,1801.26,1829.82,1850.039,1860.657,1857.615,1854.486,1844.575,1824.075,1802.54,1785.945,1761.543,1746.211,1725.602,1732.916,1732.962,1746.565,1746.438,1754.879,1756.609,1732.63,1700.438,1666.365,1629.219,1591.391,1582.99,1572.674,1545.811,1520.786,1494.833,1486.882,1479.318,1474.45,1467.999,1465.758,1478.484,1481.117,1438.213,1445.825
750.667,770.856,789.048,802.487,845.873,891.817,952.059,976.823,1012.33,1047.05,1082.09,1117.377,1153.176,1189.191,1225.443,1261.568,1296.584,1327.788,1357.964,1386.755,1411.988,1424.811,1430.386,1431.551,1429.154,1430.577,1446.136,1469.55,1496.888,1525.831,1555.568,1575.089,1610.982,1649.142,1689.066,1727.467,1763.92,1797.638,1826.301,1846.58,1857.316,1854.474,1851.321,1841.781,1821.175,1799.797,1783.343,1759.081,1743.876,1723.621,1730.922,1731.042,1744.762,1744.815,1753.434,1755.203,1731.301,1699.214,1665.193,1628.031,1590.023,1581.547,1571.345,1544.7,1519.783,1493.895,1485.898,1478.584,1473.489,1466.832,1464.923,1477.892,1480.093,1437.057
731.149,747.971,768.163,786.36,799.81,843.106,888.969,949.083,973.835,1009.295,1043.977,1078.952,1114.189,1149.929,1185.909,1222.125,1258.219,1293.202,1324.395,1354.592,1383.391,1408.617,1421.483,1427.134,1428.382,1426.065,1427.586,1443.216,1466.674,1494.023,1522.946,1552.671,1572.132,1607.943,1646.143,1686.095,1724.542,1760.931,1794.716,1823.399,1843.749,1854.62,1851.741,1848.873,1839.227,1818.744,1797.484,1781.133,1756.983,1742.038,1721.809,1729.174,1729.416,1743.289,1743.535,1752.188,1754.015,1730.206,1698.174,1664.147,1626.837,1588.785,1580.404,1570.384,1543.832,1518.972,1493.055,1485.272,1477.763,1472.495,1466.116,1464.426,1477.022,1479.106
712.702,728.972,745.814,766.013,784.203,797.659,840.891,886.682,946.69,971.424,1006.846,1041.469,1076.397,1111.579,1147.287,1183.233,1219.417,1255.477,1290.439,1321.645,1351.841,1380.623,1405.856,1418.77,1424.478,1425.782,1423.551,1425.153,1440.829,1464.297,1491.623,1520.528,1550.174,1569.578,1605.419,1643.637,1683.62,1722.004,1758.442,1792.23,1820.954,1841.401,1852.215,1849.559,1846.601,1837.045,1816.659,1795.491,1779.225,1755.27,1740.358,1720.218,1727.691,1728.082,1742.135,1742.418,1751.125,1753.026,1729.267,1697.234,1663.085,1625.749,1587.783,1579.559,1569.617,1543.115,1518.236,1492.507,1484.562,1476.907,1471.873,1465.684,1463.677,1476.177
691.124,710.728,727.026,743.894,764.081,782.267,795.739,838.912,884.641,944.55,969.275,1004.645,1039.226,1074.106,1109.262,1144.939,1180.855,1217.01,1253.049,1288.015,1319.218,1349.396,1378.179,1403.433,1416.387,1422.14,1423.518,1421.367,1423.033,1438.728,1462.182,1489.493,1518.329,1547.912,1567.363,1603.221,1641.467,1681.393,1719.816,1756.251,1790.066,1818.862,1839.247,1850.225,1847.502,1844.614,1835.132,1814.825,1793.736,1777.61,1753.704,1738.873,1718.854,1726.457,1727.027,1741.108,1741.442,1750.212,1752.152,1728.395,1696.264,1662.094,1624.838,1587.017,1578.863,1568.962,1542.449,1517.733,1491.878,1483.811,1476.354,1471.483,1465.022,1462.941
