Location,Sex,year,age,px,fx
Mexico,Female,1950,0,0.85135536,0
Mexico,Female,1950,1,0.95339325,0
Mexico,Female,1950,2,0.96950271,0
Mexico,Female,1950,3,0.97991423,0
Mexico,Female,1950,4,0.98655795,0
Mexico,Female,1950,5,0.99099257,0
Mexico,Female,1950,6,0.99383443,0
Mexico,Female,1950,7,0.9954739,0
Mexico,Female,1950,8,0.99630135,0
Mexico,Female,1950,9,0.99670714,0
Mexico,Female,1950,10,0.99708712,0
Mexico,Female,1950,11,0.99725968,0
Mexico,Female,1950,12,0.99727048,0
Mexico,Female,1950,13,0.9971419,0
Mexico,Female,1950,14,0.99689552,0
Mexico,Female,1950,15,0.99655501,0.047036
Mexico,Female,1950,16,0.99615871,0.083417
Mexico,Female,1950,17,0.995762,0.129114
Mexico,Female,1950,18,0.99540495,0.181218
Mexico,Female,1950,19,0.99511489,0.229692
Mexico,Female,1950,20,0.99487199,0.271237
Mexico,Female,1950,21,0.99463329,0.299726
Mexico,Female,1950,22,0.99436216,0.315075
Mexico,Female,1950,23,0.99402922,0.321589
Mexico,Female,1950,24,0.99365557,0.321151
Mexico,Female,1950,25,0.99329323,0.31757799999999997
Mexico,Female,1950,26,0.99301638,0.31269
Mexico,Female,1950,27,0.99290136,0.308813
Mexico,Female,1950,28,0.99294404,0.306118
Mexico,Female,1950,29,0.99308931,0.302848
Mexico,Female,1950,30,0.9932225,0.29851
Mexico,Female,1950,31,0.99321634,0.291665
Mexico,Female,1950,32,0.99299395,0.282296
Mexico,Female,1950,33,0.99249414,0.270746
Mexico,Female,1950,34,0.99173827,0.257003
Mexico,Female,1950,35,0.99082083,0.24062899999999998
Mexico,Female,1950,36,0.9899171,0.221873
Mexico,Female,1950,37,0.9892774,0.201662
Mexico,Female,1950,38,0.98903399,0.18025899999999997
Mexico,Female,1950,39,0.98918409,0.157839
Mexico,Female,1950,40,0.9895553,0.13467300000000001
Mexico,Female,1950,41,0.98990323,0.110466
Mexico,Female,1950,42,0.99005993,0.086078
Mexico,Female,1950,43,0.98990397,0.064138
Mexico,Female,1950,44,0.98939819,0.045442
Mexico,Female,1950,45,0.98855612,0.029573000000000002
Mexico,Female,1950,46,0.98743701,0.019555
Mexico,Female,1950,47,0.98616891,0.012511
Mexico,Female,1950,48,0.98490691,0.007918
Mexico,Female,1950,49,0.98383080999999994,0.004432
Mexico,Female,1950,50,0.98309072,0
Mexico,Female,1950,51,0.98277541,0
Mexico,Female,1950,52,0.98284759,0
Mexico,Female,1950,53,0.98315457,0
Mexico,Female,1950,54,0.98344928,0
Mexico,Female,1950,55,0.9834201,0
Mexico,Female,1950,56,0.98279487,0
Mexico,Female,1950,57,0.98128134,0
Mexico,Female,1950,58,0.97865559,0
Mexico,Female,1950,59,0.97482862,0
Mexico,Female,1950,60,0.96997758,0
Mexico,Female,1950,61,0.96489088,0
Mexico,Female,1950,62,0.9605875,0
Mexico,Female,1950,63,0.95790453,0
Mexico,Female,1950,64,0.95691564,0
Mexico,Female,1950,65,0.95664495,0
Mexico,Female,1950,66,0.95596636,0
Mexico,Female,1950,67,0.95371153,0
Mexico,Female,1950,68,0.94908146,0
Mexico,Female,1950,69,0.94187704,0
