Location,Sex,year,age,px
Mexico,Male,1950,0,0.83373237
Mexico,Male,1950,1,0.95186404
Mexico,Male,1950,2,0.96881882
Mexico,Male,1950,3,0.97965054
Mexico,Male,1950,4,0.9864671
Mexico,Male,1950,5,0.99096951
Mexico,Male,1950,6,0.99381735
Mexico,Male,1950,7,0.9954202
Mexico,Male,1950,8,0.99618763
Mexico,Male,1950,9,0.99652921
Mexico,Male,1950,10,0.99686061
Mexico,Male,1950,11,0.99698404
Mexico,Male,1950,12,0.99694153
Mexico,Male,1950,13,0.99675326
Mexico,Male,1950,14,0.99643933
Mexico,Male,1950,15,0.99602517
Mexico,Male,1950,16,0.99555033
Mexico,Male,1950,17,0.99507328
Mexico,Male,1950,18,0.99463647
Mexico,Male,1950,19,0.9942678
Mexico,Male,1950,20,0.99395012
Mexico,Male,1950,21,0.99363639
Mexico,Male,1950,22,0.9932892
Mexico,Male,1950,23,0.99288001
Mexico,Male,1950,24,0.99243235
Mexico,Male,1950,25,0.99201361
Mexico,Male,1950,26,0.99170491
Mexico,Male,1950,27,0.99158788
Mexico,Male,1950,28,0.99165451
Mexico,Male,1950,29,0.99182238
Mexico,Male,1950,30,0.99195993
Mexico,Male,1950,31,0.99190799
Mexico,Male,1950,32,0.99156502
Mexico,Male,1950,33,0.99086112
Mexico,Male,1950,34,0.98980026
Mexico,Male,1950,35,0.98852021
Mexico,Male,1950,36,0.98725214
Mexico,Male,1950,37,0.98633033
Mexico,Male,1950,38,0.98597345
Mexico,Male,1950,39,0.98613895
Mexico,Male,1950,40,0.98660893
Mexico,Male,1950,41,0.98702858
Mexico,Male,1950,42,0.98714572
Mexico,Male,1950,43,0.9868217
Mexico,Male,1950,44,0.9859848
Mexico,Male,1950,45,0.98469976
Mexico,Male,1950,46,0.9830817
Mexico,Male,1950,47,0.98135454
Mexico,Male,1950,48,0.97978713
Mexico,Male,1950,49,0.97858196
Mexico,Male,1950,50,0.97787439
Mexico,Male,1950,51,0.97763067
Mexico,Male,1950,52,0.97773176
Mexico,Male,1950,53,0.97795779
Mexico,Male,1950,54,0.97806204
Mexico,Male,1950,55,0.97775907
Mexico,Male,1950,56,0.97677356
Mexico,Male,1950,57,0.97490807
Mexico,Male,1950,58,0.97197389
Mexico,Male,1950,59,0.96805513
Mexico,Male,1950,60,0.96345829
Mexico,Male,1950,61,0.95888229
Mexico,Male,1950,62,0.95527915
Mexico,Male,1950,63,0.95305778
Mexico,Male,1950,64,0.95215843
Mexico,Male,1950,65,0.95166041
Mexico,Male,1950,66,0.95038645
Mexico,Male,1950,67,0.94748636
Mexico,Male,1950,68,0.94217539
Mexico,Male,1950,69,0.93447605
Mexico,Male,1950,70,0.92506892
Mexico,Male,1950,71,0.91551243
Mexico,Male,1950,72,0.9081906
Mexico,Male,1950,73,0.9043257
Mexico,Male,1950,74,0.90385606
Mexico,Male,1950,75,0.89632928
Mexico,Male,1950,76,0.88824582
Mexico,Male,1950,77,0.8795699
Mexico,Male,1950,78,0.87026435
Mexico,Male,1950,79,0.86029069
Mexico,Male,1950,80,0.84960922
Mexico,Male,1950,81,0.83817923
Mexico,Male,1950,82,0.82595915
Mexico,Male,1950,83,0.81290685
Mexico,Male,1950,84,0.79897987
Mexico,Male,1950,85,0.78413582
Mexico,Male,1950,86,0.76833271
Mexico,Male,1950,87,0.75474482
Mexico,Male,1950,88,0.74108978
Mexico,Male,1950,89,0.72709447
Mexico,Male,1950,90,0.71232424
Mexico,Male,1950,91,0.69643083
Mexico,Male,1950,92,0.6792617
Mexico,Male,1950,93,0.66094477
Mexico,Male,1950,94,0.64208143
Mexico,Male,1950,95,0.62233629
Mexico,Male,1950,96,0.60141741
Mexico,Male,1950,97,0.57949486
Mexico,Male,1950,98,0.55655834
Mexico,Male,1950,99,0.53260233
Mexico,Male,1950,100,0
Mexico,Male,1951,0,0.83927046
Mexico,Male,1951,1,0.95547137
Mexico,Male,1951,2,0.97113532
Mexico,Male,1951,3,0.981145
Mexico,Male,1951,4,0.98744688
Mexico,Male,1951,5,0.99160021
Mexico,Male,1951,6,0.9942156
