1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
589.164,598.024,615.147,631.378,647.677,665.265,680.827,699.913,719.59,739.409,760.765,784.631,810.133,839.301,868.9,898.947,926.774,953.951,980.302,1008.25,1031.226,1052.519,1071.282,1086.057,1097.413,1106.138,1107.935,1111.262,1114.963,1123.459,1116.575,1109.299,1111.765,1114.029,1113.819,1116.63,1121.565,1127.702,1134.599,1140.812,1135.904,1158.342,1162.475,1160.112,1157.704,1157.872,1154.706,1143.327,1134.48,1134.107,1129.097,1147.211,1145.156,1142.987,1132.727,1125.84,1118.673,1112.586,1110.164,1111.944,1115.194,1118.756,1121.91,1123.605,1121.62,1100.232,1069.325,1048.43,1030.412,1030.081,1030.654,1020.324,1014.502,1002.721
533.983,544.961,555.199,573.516,590.457,607.802,626.081,642.743,662.518,683.062,703.559,725.887,750.382,776.319,805.689,835.455,865.616,893.601,921.116,947.713,975.95,999.143,1020.885,1040.092,1055.444,1067.727,1077.97,1081.436,1086.312,1091.46,1101.258,1095.894,1078.544,1082.258,1084.396,1083.903,1087.877,1094.301,1101.933,1110.272,1117.722,1115.534,1138.621,1143.58,1141.789,1140.065,1141.531,1138.889,1126.88,1118.046,1118.749,1122.64,1140.997,1139.197,1137.334,1127.45,1120.951,1114.294,1109.1,1107.108,1109.076,1112.395,1116.029,1118.826,1120.626,1118.204,1096.637,1065.8,1045.375,1027.699,1027.457,1028.172,1018.003,1012.208
487.628,512.782,524.839,536.504,555.394,573.242,591.18,610.284,627.577,648.083,669.153,690.542,713.446,738.378,764.642,794.258,824.217,854.52,882.818,910.514,937.379,965.618,989.018,1010.871,1030.22,1045.65,1058.229,1068.833,1072.679,1077.881,1083.346,1093.437,1080.474,1067.364,1072.413,1073.928,1072.644,1077.227,1084.594,1093.217,1102.511,1110.09,1110.551,1133.722,1138.968,1137.181,1135.579,1137.81,1135.173,1122.014,1112.647,1114.6,1118.607,1137.021,1135.381,1133.74,1124.15,1118.117,1112.313,1107.519,1105.692,1107.733,1111.096,1114.41,1117.275,1118.679,1116.051,1094.491,1064.029,1043.864,1026.258,1026.103,1026.915,1016.696
455.131,474.775,500.218,512.745,525.08,544.376,562.736,581.008,600.498,618.087,638.884,660.635,682.462,705.551,730.633,757.031,786.763,816.82,847.146,875.484,903.185,930.11,958.398,982.007,1004.098,1023.73,1039.364,1052.1,1062.886,1066.997,1072.454,1078.131,1081.796,1070.674,1061.665,1067.663,1068.158,1065.692,1070.551,1078.574,1087.9,1097.867,1104.916,1108.151,1131.297,1136.682,1134.718,1133.069,1135.891,1133.091,1118.637,1109.844,1110.374,1114.421,1132.95,1131.533,1130.226,1121.221,1116.355,1111.027,1106.425,1104.733,1106.812,1109.894,1113.261,1115.784,1117.001,1114.349,1093.081,1062.831,1042.715,1025.186,1025.143,1025.892
432.153,447.029,466.908,492.222,505.267,517.875,537.564,556.018,574.547,594.079,611.85,633.223,655.296,677.185,700.337,725.48,751.962,781.759,811.724,842.013,870.236,897.999,924.919,953.416,977.27,999.695,1019.462,1035.145,1047.972,1058.937,1063.252,1068.848,1071.453,1072.099,1062.854,1057.779,1064.58,1063.943,1060.208,1065.241,1073.796,1084.931,1094.231,1100.828,1106.815,1129.912,1135.38,1133.168,1131.395,1134.744,1131.739,1116.588,1106.28,1106.831,1110.976,1129.676,1128.551,1127.758,1119.821,1115.368,1110.206,1105.724,1104.066,1105.902,1109.025,1112.097,1114.455,1115.641,1113.216,1092.116,1061.903,1041.849,1024.439,1024.331
413.953,426.862,441.919,461.637,487.212,500.388,513.356,533.021,551.63,570.106,589.718,608.025,629.64,651.713,673.617,696.794,721.987,748.523,778.191,808.092,838.214,866.485,894.207,921.327,950.031,974.203,996.722,1016.478,1032.2,1045.156,1056.265,1060.674,1065.354,1065.946,1063.602,1056.104,1054.863,1062.432,1060.621,1055.537,1060.662,1071.751,1082.912,1091.307,1097.413,1106.091,1129.106,1134.607,1132.104,1130.186,1134.051,1130.063,1113.453,1103.158,1103.793,1108.095,1127.05,1126.396,1126.593,1119.031,1114.727,1109.678,1105.226,1103.358,1105.227,1108.097,1111.024,1113.351,1114.721,1112.429,1091.354,1061.192,1041.246,1023.78
397.145,410.398,423.419,438.327,458.271,483.83,497.273,510.207,529.948,548.46,566.972,587.078,605.575,627.167,649.224,671.13,694.339,719.571,745.991,775.582,805.306,835.449,863.663,891.555,918.855,947.832,972.072,994.553,1014.316,1030.128,1043.195,1054.358,1057.964,1062.583,1061.169,1055.742,1049.938,1052.517,1060.835,1057.788,1051.295,1059.156,1070.636,1081.368,1088.814,1094.373,1105.709,1128.61,1134.121,1131.326,1129.263,1132.6,1127.294,1110.691,1100.47,1101.244,1105.783,1125.158,1125.408,1125.94,1118.512,1114.314,1109.291,1104.661,1102.82,1104.471,1107.214,1110.111,1112.589,1114.07,1111.794,1090.755,1060.69,1040.695
380.925,394.626,407.934,420.828,435.917,455.859,481.563,494.95,507.936,527.567,546.085,565.081,585.32,603.799,625.363,647.408,669.335,692.571,717.713,744.059,773.483,803.205,833.281,861.631,889.667,917.198,946.222,970.414,992.887,1012.709,1028.608,1041.712,1050.405,1055.694,1060.249,1056.756,1048.221,1044.119,1050.505,1059.523,1055.197,1049.72,1058.582,1069.834,1080.096,1086.544,1091.533,1105.498,1128.276,1133.804,1130.722,1127.974,1130.122,1124.817,1108.279,1098.185,1099.175,1104.1,1124.293,1124.847,1125.497,1118.171,1113.995,1108.819,1104.212,1102.184,1103.727,1106.441,1109.46,1112.035,1113.531,1111.279,1090.319,1060.217
362.032,378.979,392.7,405.915,418.938,434.041,454.099,479.715,493.114,506.018,525.638,544.636,563.729,583.953,602.406,623.957,646.011,667.957,691.139,716.209,742.412,771.809,801.468,831.643,860.101,888.319,915.89,944.862,969.039,991.551,1011.442,1027.365,1037.199,1046.692,1053.66,1058.096,1052.512,1040.89,1038.487,1048.64,1058.325,1053.619,1048.906,1058.203,1069.19,1078.939,1084.372,1088.774,1105.363,1128.029,1133.582,1129.467,1125.481,1127.624,1122.384,1105.978,1096.105,1097.49,1103.249,1123.752,1124.425,1125.192,1117.887,1113.581,1108.424,1103.657,1101.534,1103.051,1105.865,1108.972,1111.562,1113.078,1110.886,1089.899
339.344,360.402,377.338,391.005,404.304,417.35,432.545,452.543,478.12,491.45,504.351,524.448,543.515,562.605,582.801,601.246,622.8,644.864,666.786,689.903,714.852,741.016,770.354,800.078,830.327,858.922,887.174,914.697,943.651,967.851,990.418,1010.326,1022.784,1032.793,1043.087,1051.695,1056.009,1048.356,1033.649,1032.917,1046.813,1055.523,1052.345,1048.207,1057.907,1068.594,1077.817,1082.225,1086.04,1105.263,1127.824,1132.059,1126.637,1122.644,1124.862,1119.772,1103.623,1094.205,1096.546,1102.67,1123.304,1124.133,1124.917,1117.503,1113.212,1107.916,1103.067,1100.92,1102.519,1105.416,1108.539,1111.149,1112.708,1110.502
321.21,337.629,358.642,375.521,389.217,402.529,415.63,430.757,450.684,476.152,489.444,503.338,523.485,542.557,561.623,581.808,600.253,621.809,643.863,665.729,688.745,713.643,739.753,769.13,798.903,829.252,857.877,886.082,913.587,942.549,966.796,989.372,1003.677,1018.249,1028.439,1039.504,1049.754,1053.965,1044.244,1026.43,1027.35,1043.338,1052.35,1051.144,1047.555,1057.627,1068.004,1076.696,1080.081,1083.317,1105.176,1125.891,1128.781,1123.349,1119.446,1121.84,1117.047,1101.43,1093.128,1095.901,1102.18,1123.009,1123.855,1124.541,1117.14,1112.723,1107.35,1102.477,1100.403,1102.083,1105,1108.141,1110.779,1112.344
