1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
606.843,610.619,628.421,645.177,662.187,680.414,696.676,716.467,736.682,757.067,779.1,803.645,829.996,860.406,891.239,922.663,951.583,979.937,1007.232,1036.239,1060.224,1082.037,1101.261,1115.846,1126.518,1134.951,1138.053,1142.6,1148.028,1157.682,1151.558,1144.449,1151.719,1153.695,1153.727,1156.573,1161.137,1166.91,1173.771,1179.684,1171.903,1198.122,1202.79,1200.449,1196.787,1197.494,1196.203,1184.77,1175.541,1174.871,1167.01,1185.531,1183.935,1181.838,1171.325,1164.44,1157.113,1151.206,1149.014,1150.804,1154.476,1158.466,1162.024,1163.998,1162.159,1140.351,1108.096,1086.078,1067.822,1067.599,1068.105,1057.52,1051.506,1039.465
546.384,558.319,564.074,583.056,600.538,618.597,637.528,655.006,675.526,696.652,717.721,740.737,765.885,792.611,823.19,854.146,885.716,914.815,943.49,971.017,1000.316,1024.558,1046.806,1066.475,1082.172,1094.307,1104.377,1109.245,1115.458,1122.452,1133.486,1128.946,1107.815,1115.379,1117.72,1117.932,1122.131,1128.288,1135.664,1144.118,1151.339,1147.356,1173.506,1178.864,1177.357,1174.291,1176.614,1176.347,1164.376,1155.21,1155.721,1159.97,1178.767,1177.465,1175.711,1165.496,1158.963,1152.161,1147.194,1145.438,1147.437,1151.191,1155.275,1158.493,1160.581,1158.32,1136.357,1104.188,1082.65,1064.739,1064.61,1065.307,1054.865,1048.871
496.659,524.071,537.179,544.538,564.095,582.475,601.117,620.942,639.083,660.365,682.025,704.007,727.597,753.153,780.225,811.043,842.264,874.014,903.428,932.282,960.1,989.451,1013.883,1036.235,1056.097,1071.938,1084.402,1094.863,1100.147,1106.74,1114.046,1125.34,1111.163,1094.425,1102.551,1104.752,1104.607,1109.583,1116.758,1125.194,1134.706,1142.914,1141.897,1167.225,1172.7,1171.386,1168.288,1171.608,1171.76,1158.654,1148.973,1151.337,1155.704,1174.563,1173.425,1171.898,1161.996,1155.943,1150.041,1145.478,1143.905,1145.988,1149.805,1153.582,1156.875,1158.575,1156.115,1134.162,1102.367,1081.083,1063.243,1063.255,1064.013,1053.513
460.717,483.32,511.009,524.603,532.786,552.778,571.721,590.707,610.891,629.296,650.846,673.204,695.626,719.406,745.102,772.3,803.197,834.5,866.263,895.725,924.577,952.441,981.839,1006.477,1029.039,1049.15,1065.184,1077.808,1088.449,1093.974,1100.83,1108.367,1113.26,1101.061,1088.467,1096.688,1098.232,1097.236,1102.552,1110.357,1119.47,1130.045,1138.275,1140.096,1164.441,1169.812,1168.443,1165.066,1169.159,1169.52,1155.092,1146.055,1146.7,1151.116,1170.107,1169.218,1168.055,1158.787,1153.983,1148.602,1144.246,1142.837,1144.959,1148.504,1152.338,1155.3,1156.819,1154.343,1132.682,1101.106,1079.876,1062.119,1062.236,1062.95
435.364,452.42,475.221,502.783,516.936,525.494,545.936,564.969,584.172,604.357,622.916,645.061,667.744,690.247,714.07,739.819,767.029,797.954,829.157,860.891,890.221,919.093,946.959,976.565,1001.393,1024.225,1044.445,1060.513,1073.205,1083.983,1089.724,1096.76,1100.558,1103.079,1092.906,1084.285,1092.467,1093.245,1091.309,1096.865,1105.18,1115.391,1126.473,1134.711,1139.344,1162.683,1167.889,1166.398,1162.681,1167.494,1168.018,1152.803,1141.948,1142.624,1147.163,1166.359,1165.804,1165.231,1157.157,1152.838,1147.64,1143.444,1142.063,1143.945,1147.533,1151.083,1153.886,1155.384,1153.136,1131.653,1100.122,1078.93,1061.306,1061.384
416.113,429.994,447.204,469.837,497.676,511.991,520.998,541.412,560.564,579.682,599.926,619.044,641.434,664.137,686.631,710.468,736.19,763.416,794.202,825.35,856.899,886.231,915.07,943.139,972.895,997.974,1020.869,1041.058,1057.134,1069.91,1080.848,1086.727,1090.021,1093.96,1094.145,1085.86,1081.112,1089.221,1089.188,1086.23,1091.945,1100.795,1112.12,1123.644,1131.851,1139.235,1161.531,1166.538,1164.886,1160.804,1166.309,1165.821,1148.97,1138.139,1138.927,1143.67,1163.176,1163.197,1163.801,1156.202,1152.055,1147.024,1142.846,1141.257,1143.173,1146.519,1149.929,1152.71,1154.394,1152.288,1130.836,1099.318,1078.265,1060.611
400.012,412.513,426.492,443.544,466.41,494.245,508.871,517.865,538.329,557.362,576.497,597.261,616.581,638.963,661.626,684.103,707.9,733.626,760.717,791.438,822.399,853.936,883.217,912.227,940.426,970.397,995.512,1018.348,1038.513,1054.64,1067.54,1078.572,1079.128,1084.064,1088.155,1085.903,1079.451,1078.558,1086.574,1085.664,1081.631,1087.167,1096.888,1109.366,1121.288,1129.409,1139.502,1160.741,1165.525,1163.704,1159.241,1163.951,1162.2,1145.365,1134.643,1135.626,1140.675,1160.735,1161.911,1162.973,1155.54,1151.566,1146.55,1142.191,1140.628,1142.336,1145.56,1148.95,1151.886,1153.69,1151.601,1130.144,1098.76,1077.679
387.438,397.444,409.996,423.833,441.074,463.936,491.946,506.516,515.565,535.903,554.929,574.574,595.494,614.803,637.13,659.753,682.189,705.988,731.592,758.624,789.177,820.124,851.598,881.012,910.124,938.51,968.498,993.545,1016.349,1036.545,1052.768,1065.732,1069.869,1072.019,1078.6,1082.758,1078.047,1073.436,1076.379,1084.253,1082.43,1075.814,1082.613,1093.331,1106.921,1119.192,1127.198,1139.985,1160.157,1164.719,1162.719,1156.522,1160.437,1158.689,1141.961,1131.433,1132.72,1138.324,1159.527,1161.159,1162.382,1155.133,1151.171,1145.998,1141.66,1139.919,1141.521,1144.726,1148.247,1151.286,1153.101,1150.998,1129.658,1098.251
374.63,385.414,395.449,407.885,421.86,439.106,462.103,490.025,504.605,513.578,533.894,553.425,573.198,594.103,613.36,635.635,658.219,680.66,704.359,729.907,756.806,787.342,818.225,849.789,879.28,908.544,936.944,966.863,991.877,1014.704,1034.974,1051.237,1056.242,1061.446,1065.193,1073.352,1077.567,1070.416,1067.642,1074.379,1082.088,1075.867,1069.81,1078.285,1089.964,1104.623,1117.221,1125.107,1140.579,1159.69,1164.026,1159.35,1152.666,1156.577,1154.941,1138.43,1128.246,1130.155,1137.047,1158.756,1160.57,1162.019,1154.782,1150.684,1145.527,1141.035,1139.203,1140.789,1144.107,1147.717,1150.764,1152.569,1150.562,1129.2
357.999,372.883,383.674,393.629,406.16,420.147,437.498,460.436,488.32,502.831,511.804,532.618,552.258,572.022,592.873,612.076,634.322,656.909,679.273,702.922,728.367,755.25,785.722,816.659,848.273,877.883,907.159,935.498,965.386,990.419,1013.304,1033.593,1041.095,1046.885,1053.162,1058.458,1068.192,1072.485,1062.898,1061.933,1072.449,1073.301,1068.535,1063.939,1074.063,1086.67,1102.381,1115.304,1123.065,1141.225,1159.274,1159.566,1154.667,1147.978,1152.023,1150.649,1134.565,1125.148,1128.65,1136.175,1158.105,1160.223,1161.683,1154.327,1150.241,1144.948,1140.376,1138.532,1140.218,1143.615,1147.23,1150.278,1152.161,1150.134
